Term,Course Code,Section,CRN,Course Name,Time,Days,Location,Instructor
Fall,AL 102,A1,10263,Academic Literacies,9:40 am - 11:30 am,M,Fac.of Arts and Social Sci. 1001,Ali Nihat  Eken
Fall,AL 102,A1,10263,Academic Literacies,11:40 am - 12:30 pm,T,Fac.of Arts and Social Sci. 1103,Ali Nihat  Eken
Fall,AL 102,A2,10267,Academic Literacies,9:40 am - 11:30 am,M,Fac.of Arts and Social Sci. 1079,Naime Meltem  Aygüneş
Fall,AL 102,A2,10267,Academic Literacies,11:40 am - 12:30 pm,T,Fac.of Arts and Social Sci. 1102,Naime Meltem  Aygüneş
Fall,AL 102,A3,10270,Academic Literacies,9:40 am - 11:30 am,M,Sabancı Business School G050,Deniz   Kurtoğlu Eken
Fall,AL 102,A3,10270,Academic Literacies,11:40 am - 12:30 pm,T,Fac.of Arts and Social Sci. 1080,Deniz   Kurtoğlu Eken
Fall,AL 102,A4,10271,Academic Literacies,9:40 am - 11:30 am,M,Fac.of Arts and Social Sci. G056,Ekrem Sabit  Şimşek
Fall,AL 102,A4,10271,Academic Literacies,11:40 am - 12:30 pm,T,Fac.of Arts and Social Sci. 1079,Ekrem Sabit  Şimşek
Fall,AL 102,A5,12593,Academic Literacies,9:40 am - 11:30 am,M,Fac.of Arts and Social Sci. 1096,Tuğçe   Gürer
Fall,AL 102,A5,12593,Academic Literacies,11:40 am - 12:30 pm,T,Sabancı Business School G098,Tuğçe   Gürer
Fall,AL 102,B1,10273,Academic Literacies,8:40 am - 10:30 am,W,Fac.of Arts and Social Sci. 1099,Ali Nihat  Eken
Fall,AL 102,B1,10273,Academic Literacies,11:40 am - 12:30 pm,R,Fac.of Arts and Social Sci. 1089,Ali Nihat  Eken
Fall,AL 102,B2,10274,Academic Literacies,8:40 am - 10:30 am,W,Fac.of Arts and Social Sci. 1079,Naime Meltem  Aygüneş
Fall,AL 102,B2,10274,Academic Literacies,11:40 am - 12:30 pm,R,Fac.of Arts and Social Sci. 1097,Naime Meltem  Aygüneş
Fall,AL 102,B3,10275,Academic Literacies,8:40 am - 10:30 am,W,Sabancı Business School G041,Deniz   Kurtoğlu Eken
Fall,AL 102,B3,10275,Academic Literacies,11:40 am - 12:30 pm,R,Sabancı Business School G041,Deniz   Kurtoğlu Eken
Fall,AL 102,B4,10276,Academic Literacies,8:40 am - 10:30 am,W,Fac.of Arts and Social Sci. 1101,Ekrem Sabit  Şimşek
Fall,AL 102,B4,10276,Academic Literacies,11:40 am - 12:30 pm,R,Fac.of Arts and Social Sci. 1099,Ekrem Sabit  Şimşek
Fall,AL 102,B5,12594,Academic Literacies,8:40 am - 10:30 am,W,Sabancı Business School G013,Tuğçe   Gürer
