Course Code,Course Name,Level,Term,Description,Prerequisites,Restrictions,Corequisites
ACC 201,Introduction to Financial Accounting and Reporting,201,"Fall, Spring","Introduction to Financial Accounting and Reporting Introduction to Financial Accounting and Reporting Accounting is the information system organizations use to identify, record and communicate relevant economic events and as such all management students should have a strong background in accounting. The purpose of this course is to familiarize the students with basic accounting concepts, principles, and methods as well as to teach them the basic business terminology they will encounter in future management courses and in the business world. The course will help the students appreciate the role of accounting information in financial decision making and is intended to serve as a foundation for subsequent Accounting and Finance courses. The topics covered include demand for accounting information by internal and external users in making investment and credit decisions; supply of accounting information and the institutional background for generally accepted accounting principles; the format and the content of the four basic financial statements; analysis and recording of business transactions through the recording cycle; accounting for current assets including trade receivables and inventories; plant- property- equipment and depreciation; financing through short and long-term debt versus equity; and basic financial ratio analysis. The course is based on International Financial Reporting Standards (IFRS). Finansal Muhasebe ve Raporlamaya Giriş Muhasebe, kurumların ekonomik olayları belirlediği, kayıt ettiği ve iletmede kullandığı bir bilgi sistemidir. Dolayısıyla, tüm yönetim bilimleri öğrencilerinin kuvvetli bir muhasebe temeli olması gerekir. Dersin amacı öğrencilere temel muhasebe kavram, prensip, ve metodlarını tanıtmak, ve diğer yönetim bilimleri derslerinde ve iş hayatında karşılaşacakları temel işletme terminolojisini öğretmektir. Bu ders öğrencilerin muhasebe standartlarının kurumsal zemini, dört temel finansal tablonun yapı ve içeriği, işletme faliyetlerinin analizi ve kayıt döngüsü çerçevesinde kaydedilmesi, cari varlıkların (örneğin ticari alacaklar ve envanterler) muhasebeleştirilmesi, sabit varlıklar ve amortisman, kısa ve uzun vadeli borçlanma ile özsermaye finansmanının kıyaslanması, ve temel finansal oran analizi. Ders Uluslararası Finansal Raporlama Standartlarını (UFRS) temel almaktadır. 3.000",,,
ACC 301,Managerial Accounting,301,"Fall, Spring","Managerial Accounting Managerial accounting systems generate information that will assist managers in making day-to-day and and long-term strategic decisions. The course introduces the students to the design of accounting procedures and systems that support managerial planning and control of operations. It covers topics such as cost classifications, definitions, and behavior; design and analysis of product cost systems and product mix decisions; cost-volume-profit relationships; overhead cost allocations; developing cost standards and responsibility accounting systems; variance analysis; and introduction to activity-based costing. Yönetim Muhasebesi Yönetim muhasebesi sistemleri, yöneticilere günlük ve uzun dönemli stratejik kararlarında yardımcı olacak bilgileri üretir. Bu ders faaliyetlerin planlanmasında ve kontrolunda yöneticilere destek olan yönetim muhasebesi prosedür ve sistemlerinin tasarımına bir giriş sunmaktadır. Başlıca şu konular işlenecektir: maliyetlerin sınıflandırılması, tanımları ve üretimle bağlantılı değişimleri; ürün maliyeti sistemlerinin ve ürün çeşitlemesi kararlarının tasarımı ve analizi; maliyet-miktar-karlılık ilişkileri; genel maliyetlerin dağıtımı; maliyet standartlarının belirlenmesi ve sorumluluk muhasebesi sistemlerinin oluşturulması; sapmaların hesaplanması ve analizi; ve aktivite bazlı maliyet sistemlerine giriş. 3.000",Undergraduate level ACC 201 Minimum Grade of D or Undergraduate level MGMT 202 Minimum Grade of D,,
ACC 401,Intermediate Financial Accounting and Reporting,401,"Fall, Spring","Intermediate Financial Accounting and Reporting The purpose of this course is to enhance students' understanding of financial reporting and accounting practice through knowledge and skill refinement. The course is a continuation of and Reporting. Differences between the US and International accounting standards and the ethical dilemmas faced by the managers and accounting professionals are covered. Drawing on examples from the annual reports of real companies, the course goes into more advanced accounting topics such as: company income tax, non-current asset revaluations and impairments, accounting for long-term liabilities, and accounting for investments in debt and equity securities. Finansal Muhasebe ve Raporlama Bu dersin amacı öğrencileri bilgilendirerek ve yeteneklerini kullandırarak finansal raporlama ve muhasebe uygulamalarına dair anlayışlarını Muhasebe ve Raporlamaya Giriş dersinin devamıdır. ABD'de Kabul Görmüş Muhasebe ve Raporlama Standartlar (U.S. GAAP) ve Uluslararası Finansal Raporlama Standartları (UFRS) arasındaki farklar ve yöneticilerin ve muhasebe mesleğini icra edenlerin karşılaştıkları etik ikilemler ele alınmaktadır. Gerçek şirketlerin yıllık raporlarından örnekler verilerek kurumlar vergisi, sabit kıymetlerin yeniden değerlemesi, değer düşüklüğü, uzun vadeli yükümlülükler, borçlanma ve sermaye araçlarına dair işlemlerinin muhasebeleştirilmesi gibi ileri düzey muhasebe konuları işlenmektedir. 3.000",Undergraduate level ACC 201 Minimum Grade of D,,
ACC 402,Advanced Issues in Financial Accounting,402,"Fall, Spring","Advanced Issues in Financial Accounting The course covers more advanced issues in financial accounting and reporting including business combinations and other inter-corporate investments, consolidated financial statements, multinational accounting issues such as foreign currency translation and transactions, special reporting concerns including interim reporting and segmental reporting, accounting for intra- period tax allocation, accounting changes and errors analyses, and accounting for derivative financial instruments. İleri Finansal Muhasebe Bu ders finansal muhasebe ve raporlamada daha kompleks konulara değinir: şirket birleşmeleri ve diğer şirketler arası yatırımlar; konsolide finansal tabloların hazırlanması; çok uluslu şirket muhasebesinde ortaya çıkan dövizli işlemlerin kaydı ve finansal tabloların ana şirket para birimine çevrilmesi; muhasebe metodlarında hata ve değişimlerin düzeltilme kayıtları ve raporlanması; finansal türevlerin raporlanması. 3.000",Undergraduate level ACC 401 Minimum Grade of D,,
ACC 403,Auditing,403,"Fall, Spring","Auditing Auditing The course provides an introduction to the theory and practice of auditing, emphasizing the importance of accountability and professional ethics and the role of the independent auditor in an organization. It helps the students learn the steps in the audit process in accordance with the International Auditing Standards. The topics covered include the demand for assurance services, responsibilities and objectives of the auditor, risk of material misstatement, fraud, internal control, planning and performing audit procedures, and the preparation and analysis of the auditors' report. Denetim Bu ders denetim teorisi ve uygulamalarına giriş niteliğinde olup özellikle hesap verilebilirlik, mesleki etik ve bağımsız denetçinin şirket yapısı içindeki rolüne odaklanmaktadır. Öğrencilerin, denetim sürecindeki aşamaları Uluslararası Denetim Standartlları'na uygun bir şekilde öğrenmesi hedeflenmektedir. Derste öne çıkan konular; denetim/güvence hizmetlerinin gerekliliği, denetçinin görev ve sorumlulukları, önemlilik kavramı ve hatalı mali tablo bildirimleri, hile, iç denetim, denetimin planlanması ve icrası ile denetim raporunun hazırlanması ve analizidir. 3.000",Undergraduate level ACC 201 Minimum Grade of D,,
ACC 404,International Accounting,404,"Fall, Spring",International Accounting This course sensitizes the students interested in accounting and finance to the international dimensions of financial reporting and the recent harmonization efforts of the International Accounting Standards Board. The topics covered include: a brief history of international accounting and harmonization efforts; comparative accounting methods used in different countries; classification of basic accounting systems; reporting and disclosure requirements in different equity markets; foreign currency transactions and translations; international taxation and transfer pricing. Uluslarası Muhasebe Finansal raporlamanın uluslarası boyutları ve son zamanlardaki Uluslarası Muhasebe Standartları Komisyonun uyumlandırma çalışmaları.Uluslarası muhasebe standartları ve uyumlandırma çalışmalarının kısa tarihi; farklı ülkelerin muhasebe standartlarının karşılaştırılması; temel muhasebe sistemlerinin sınıflandırılması; farklı sermaye piyasalarının raporlama ve şeffaflık koşulları; döviz işlemleri; uluslarası vergilendirme. 3.000,Undergraduate level ACC 201 Minimum Grade of D,,
ACC 405,Financial Statement Analysis,405,"Fall, Spring","Financial Statement Analysis Financial statement analysis is concerned with extracting relevant information from a firm's financial statements to answer questions about that firm. This is a technical course which integrates finance and accounting concepts together with the appropriate tools of analysis. It will help students understand how businesses work, how value is generated, and how this value is (or is not) captured in the financial statements. Emphasis will also be given to interpreting information in financial statements in order to make sound credit, investing, and equity analysis decisions. Topics covered in the course will include a review of the related conceptual framework and the contents of financial statements as well as their footnotes, tools and procedures common to financial statement analysis, accounting and finance based valuation analysis tools, and preparation and interpretation of state-of-the-art credit and equity research reports. Finansal Tablo Analizi Finansal tablo analizi, bir şirket hakkındaki soruları yanıtlayabilmek için o şirketin finansal tablolarından gerekli bilgileri bulup çıkartmakla ilgilenir. Bu derste finans ve muhasebe kavramları uygun analiz araçlarıyla bir araya getirilerek şirketlerin nasıl çalıştığının, nasıl değer yarattığının, ve bu değerin finansal tablolara nasıl yansıdığının (veya yansımadığının) anlaşılması ve finansal tablolardan elde edilen bilgilerin anlamlı ve doğru kredi, yatırım ve hisse analizi kararları vermede yorumlanması ve kullanılması hedeflenmektedir. Finansal tabloların ve dipnotlarının içeriklerinin tekrarı, finansal tablo analizinde kullanılan araç ve yöntemler, muhasebe ve finans tabanlı değerleme analizleri ve modern kredi ve hisse senedi araştırma raporlarının hazırlanması ve yorumlanması işlenecek konular arasındadır. 3.000",Undergraduate level ACC 201 Minimum Grade of D,,
ACC 406,Intermediate Managerial Accounting,406,"Fall, Spring","Intermediate Managerial Accounting The course is a continuation of the ACC301. It deals with more advanced forms of management accounting and management control such as variance analysis, activity based costing, activity based management, strategic cost management and financial and non-financial performance evaluation. It will use a number of cases to enhance the practical applications of the course content. Orta Düzey Yönetim Muhasebesi Bu ders ACC301 dersinin devamıdır. Dersin konusu değişim analizi, faaliyet tabanlı maliyetleme, faaliyet tabanlı yönetim, stratejik maliyet yönetimi ve finans dışı performans değerlendirme gibi yönetim ve yönetim denetiminin daha ileri biçimleridir. Ders esnasında uygulamaya yönelik becerilere katkı sağlaması amacıyla çeşitli vaka analizleri kullanılacaktır. 3.000",Undergraduate level ACC 301 Minimum Grade of D,,
ACC 450,Selected Topics in Accounting I,450,"Fall, Spring",Selected Topics in Accounting I Topics of these courses will be announced when they are offered. Muhasebeye İlişkin Seçme Konular I Bu dersin konuları ders açıldığında belirtilecektir. 3.000,Undergraduate level ACC 201 Minimum Grade of D,,
ACC 451,Selected Topics in Accounting II,451,"Fall, Spring",Selected Topics in Accounting II Topics of these courses will be announced when they are offered. Muhasebeye İlişkin Seçme Konular II Bu dersin konuları ders açıldığında belirtilecektir. 3.000,Undergraduate level ACC 201 Minimum Grade of D,,
