Course Code,Course Name,URL,Term
ACC 201,Introduction to Financial Accounting and Reporting,https://suis.sabanciuniv.edu/prod/bwckctlg.p_disp_course_detail?cat_term_in=202501&subj_code_in=ACC&crse_numb_in=201,"Fall, Spring"
ACC 301,Managerial Accounting,https://suis.sabanciuniv.edu/prod/bwckctlg.p_disp_course_detail?cat_term_in=202501&subj_code_in=ACC&crse_numb_in=301,"Fall, Spring"
ACC 401,Intermediate Financial Accounting and Reporting,https://suis.sabanciuniv.edu/prod/bwckctlg.p_disp_course_detail?cat_term_in=202501&subj_code_in=ACC&crse_numb_in=401,"Fall, Spring"
ACC 402,Advanced Issues in Financial Accounting,https://suis.sabanciuniv.edu/prod/bwckctlg.p_disp_course_detail?cat_term_in=202501&subj_code_in=ACC&crse_numb_in=402,"Fall, Spring"
ACC 403,Auditing,https://suis.sabanciuniv.edu/prod/bwckctlg.p_disp_course_detail?cat_term_in=202501&subj_code_in=ACC&crse_numb_in=403,"Fall, Spring"
ACC 404,International Accounting,https://suis.sabanciuniv.edu/prod/bwckctlg.p_disp_course_detail?cat_term_in=202501&subj_code_in=ACC&crse_numb_in=404,"Fall, Spring"
ACC 405,Financial Statement Analysis,https://suis.sabanciuniv.edu/prod/bwckctlg.p_disp_course_detail?cat_term_in=202501&subj_code_in=ACC&crse_numb_in=405,"Fall, Spring"
ACC 406,Intermediate Managerial Accounting,https://suis.sabanciuniv.edu/prod/bwckctlg.p_disp_course_detail?cat_term_in=202501&subj_code_in=ACC&crse_numb_in=406,"Fall, Spring"
ACC 450,Selected Topics in Accounting I,https://suis.sabanciuniv.edu/prod/bwckctlg.p_disp_course_detail?cat_term_in=202501&subj_code_in=ACC&crse_numb_in=450,"Fall, Spring"
ACC 451,Selected Topics in Accounting II,https://suis.sabanciuniv.edu/prod/bwckctlg.p_disp_course_detail?cat_term_in=202501&subj_code_in=ACC&crse_numb_in=451,"Fall, Spring"
ACC 500,Financial Accounting and Reporting,https://suis.sabanciuniv.edu/prod/bwckctlg.p_disp_course_detail?cat_term_in=202501&subj_code_in=ACC&crse_numb_in=500,"Fall, Spring"
ACC 501,Financial Reporting and Statement Analysis,https://suis.sabanciuniv.edu/prod/bwckctlg.p_disp_course_detail?cat_term_in=202501&subj_code_in=ACC&crse_numb_in=501,"Fall, Spring"
ACC 521,Managerial Accounting,https://suis.sabanciuniv.edu/prod/bwckctlg.p_disp_course_detail?cat_term_in=202501&subj_code_in=ACC&crse_numb_in=521,"Fall, Spring"
ACC 523,Applied Turkish Taxation Systems,https://suis.sabanciuniv.edu/prod/bwckctlg.p_disp_course_detail?cat_term_in=202501&subj_code_in=ACC&crse_numb_in=523,"Fall, Spring"
ACC 801,Financial Reporting and Statement Analysis,https://suis.sabanciuniv.edu/prod/bwckctlg.p_disp_course_detail?cat_term_in=202501&subj_code_in=ACC&crse_numb_in=801,"Fall, Spring"
ACC 802,Managerial Accounting,https://suis.sabanciuniv.edu/prod/bwckctlg.p_disp_course_detail?cat_term_in=202501&subj_code_in=ACC&crse_numb_in=802,"Fall, Spring"
ACC 810,Financial Statement Analysis,https://suis.sabanciuniv.edu/prod/bwckctlg.p_disp_course_detail?cat_term_in=202501&subj_code_in=ACC&crse_numb_in=810,"Fall, Spring"
